name,category,food_application,food_function,food_sector,e_number,usage_concentration_percent,regulatory_status,solubility,source
Guar Gum,Storage,Thickener,Prebiotic,Dairy,NA,2.968,Restricted,Soluble,Plants
Guar Gum,Storage,Thickener,Dietary fiber,Meat products,E415,0.635,Approved FDA,Soluble,Plants
Glycogen,Storage,NA,Film-forming,Beverages,E412,4.066,GRAS,Soluble,Animals
Carrageenan,Algal,Gelling/Stabilizing,Film-forming,Nutraceuticals,E401,2.599,Under review,Soluble,Red Algae
Cellulose Sulfate,Structural,Coating,Gelling agent,Confectionery,E440,4.489,Approved EU,Soluble,Plants (Modified)
Laminarin,Algal,Supplement,Emulsifier,Bakery,E415,2.242,Approved FDA,Soluble,Brown Algae
Chitin,Structural,Preservative,Thickener,Beverages,E415,1.039,Approved EU,Insoluble,Fungi/Exoskeletons
Glycogen,Storage,NA,Film-forming,Meat products,NA,3.768,GRAS,Soluble,Animals
Chitin,Structural,Preservative,Film-forming,Meat products,E410,4.832,Approved EU,Insoluble,Fungi/Exoskeletons
Levan,Bacterial,Food stabilizer,Thickener,Confectionery,E410,0.24,Under review,Soluble,Bacteria
Dextran,Bacterial,Coating,Film-forming,Nutraceuticals,E406,2.89,Approved FDA,Soluble,Bacteria
Locust Bean Gum,Storage,Stabilizer/Thickener,Fat replacer,Confectionery,E440,0.504,GRAS,Soluble,Plants
Agar,Algal,Gelling agent/Desserts,Thickener,Confectionery,E406,1.506,Approved EU,Soluble (Hot),Red Algae
Heparin,Bioactive,NA,Humectant,Confectionery,E415,1.802,Approved EU,Soluble,Animals
Gellan Gum,Bacterial,Gelling agent,Humectant,Functional Foods,E401,2.754,Approved FDA,Soluble,Bacteria
Carrageenan,Algal,Gelling/Stabilizing,Emulsifier,Functional Foods,E412,0.425,Approved FDA,Soluble,Red Algae
Scleroglucan,Fungal,Thickener,Dietary fiber,Beverages,E415,1.027,Approved FDA,Soluble,Fungi
Fucoidan,Algal,Nutraceutical,Stabilizer,Sauces/Dressings,E415,3.29,Under review,Soluble,Brown Algae
Laminarin,Algal,Supplement,Emulsifier,Functional Foods,NA,0.776,Restricted,Soluble,Brown Algae
Carrageenan,Algal,Gelling/Stabilizing,Thickener,Confectionery,E401,1.358,Under review,Soluble,Red Algae
Chitin,Structural,Preservative,Film-forming,Functional Foods,E401,1.653,GRAS,Insoluble,Fungi/Exoskeletons
Alginate,Algal,Thickener/Emulsifier,Fat replacer,Meat products,E406,4.346,Approved EU,Soluble,Brown Algae
Inulin,Storage,Prebiotic/Sweetener,Thickener,Dairy,E412,4.898,Approved EU,Soluble,Plants
Carrageenan,Algal,Gelling/Stabilizing,Gelling agent,Dairy,E406,2.637,Approved FDA,Soluble,Red Algae
Curdlan,Bacterial,Gelling agent,Coating,Dairy,E415,1.751,Under review,Insoluble,Bacteria
Dextran,Bacterial,Coating,Film-forming,Meat products,E415,0.504,GRAS,Soluble,Bacteria
Hyaluronic Acid,Bioactive,Moisturizing supplement,Fat replacer,Functional Foods,E406,1.732,Under review,Soluble,Animals/Bacteria
Cellulose Sulfate,Structural,Coating,Humectant,Functional Foods,E412,2.966,Approved FDA,Soluble,Plants (Modified)
Starch,Storage,Thickener/Binder,Film-forming,Beverages,E440,0.641,Restricted,Soluble,Plants
Curdlan,Bacterial,Gelling agent,Prebiotic,Bakery,E440,3.2,Approved FDA,Insoluble,Bacteria
Welan Gum,Bacterial,NA,Stabilizer,Functional Foods,E440,2.294,Restricted,Soluble,Bacteria
Alginate,Algal,Thickener/Emulsifier,Coating,Meat products,E410,4.764,Under review,Soluble,Brown Algae
Welan Gum,Bacterial,NA,Stabilizer,Meat products,E440,4.291,Approved FDA,Soluble,Bacteria
Levan,Bacterial,Food stabilizer,Fat replacer,Dairy,E440,0.407,Approved EU,Soluble,Bacteria
Glycogen,Storage,NA,Emulsifier,Bakery,E401,3.72,Under review,Soluble,Animals
Guar Gum,Storage,Thickener,Thickener,Functional Foods,E440,2.548,Approved EU,Soluble,Plants
Guar Gum,Storage,Thickener,Coating,Dairy,E412,0.079,Approved EU,Soluble,Plants
Gellan Gum,Bacterial,Gelling agent,Thickener,Functional Foods,E440,2.676,Approved FDA,Soluble,Bacteria
Agar,Algal,Gelling agent/Desserts,Film-forming,Bakery,E415,2.249,Approved EU,Soluble (Hot),Red Algae
Scleroglucan,Fungal,Thickener,Film-forming,Confectionery,E406,0.385,Approved EU,Soluble,Fungi
Locust Bean Gum,Storage,Stabilizer/Thickener,Fat replacer,Bakery,E412,2.483,Approved EU,Soluble,Plants
Alginate,Algal,Thickener/Emulsifier,Gelling agent,Sauces/Dressings,E440,1.256,Under review,Soluble,Brown Algae
Konjac Glucomannan,Storage,Gelling/Coating,Gelling agent,Meat products,E410,2.421,Approved FDA,Soluble,Plants
Xanthan Gum,Bacterial,Emulsifier/Thickener,Thickener,Functional Foods,E406,4.616,Under review,Soluble,Bacteria
Cellulose,Structural,Dietary fiber,Coating,Nutraceuticals,E401,1.785,Under review,Insoluble,Plants
Pullulan,Fungal,Edible films,Fat replacer,Meat products,E410,0.545,Approved FDA,Soluble,Fungi
Gellan Gum,Bacterial,Gelling agent,Emulsifier,Functional Foods,E410,0.054,Restricted,Soluble,Bacteria
Guar Gum,Storage,Thickener,Stabilizer,Dairy,E415,2.576,Approved EU,Soluble,Plants
Levan,Bacterial,Food stabilizer,Gelling agent,Nutraceuticals,E401,0.787,Approved FDA,Soluble,Bacteria
Agar,Algal,Gelling agent/Desserts,Coating,Functional Foods,E410,1.503,Restricted,Soluble (Hot),Red Algae
Hyaluronic Acid,Bioactive,Moisturizing supplement,Film-forming,Meat products,E401,4.947,Restricted,Soluble,Animals/Bacteria
Hyaluronic Acid,Bioactive,Moisturizing supplement,Emulsifier,Sauces/Dressings,E440,2.175,Approved FDA,Soluble,Animals/Bacteria
Welan Gum,Bacterial,NA,Stabilizer,Dairy,E406,1.432,Approved EU,Soluble,Bacteria
Carrageenan,Algal,Gelling/Stabilizing,Dietary fiber,Sauces/Dressings,E401,0.81,Approved EU,Soluble,Red Algae
Guar Gum,Storage,Thickener,Prebiotic,Dairy,E412,2.45,Restricted,Soluble,Plants
Scleroglucan,Fungal,Thickener,Emulsifier,Sauces/Dressings,NA,3.824,Restricted,Soluble,Fungi
Locust Bean Gum,Storage,Stabilizer/Thickener,Dietary fiber,Beverages,E401,4.789,GRAS,Soluble,Plants
Heparin,Bioactive,NA,Emulsifier,Sauces/Dressings,E415,0.078,Approved EU,Soluble,Animals
Cellulose,Structural,Dietary fiber,Fat replacer,Functional Foods,E415,3.69,Restricted,Insoluble,Plants
Guar Gum,Storage,Thickener,Prebiotic,Meat products,E412,0.422,Restricted,Soluble,Plants
Agar,Algal,Gelling agent/Desserts,Humectant,Beverages,E440,2.561,Approved EU,Soluble (Hot),Red Algae
Inulin,Storage,Prebiotic/Sweetener,Gelling agent,Meat products,E440,1.244,Restricted,Soluble,Plants
Xanthan Gum,Bacterial,Emulsifier/Thickener,Coating,Dairy,E440,3.655,Under review,Soluble,Bacteria
Hyaluronic Acid,Bioactive,Moisturizing supplement,Stabilizer,Beverages,E406,0.611,Restricted,Soluble,Animals/Bacteria
Cellulose,Structural,Dietary fiber,Prebiotic,Confectionery,E406,2.137,Under review,Insoluble,Plants
Xanthan Gum,Bacterial,Emulsifier/Thickener,Gelling agent,Bakery,E412,2.042,Approved FDA,Soluble,Bacteria
Welan Gum,Bacterial,NA,Stabilizer,Confectionery,E410,2.136,GRAS,Soluble,Bacteria
Locust Bean Gum,Storage,Stabilizer/Thickener,Dietary fiber,Bakery,E410,0.559,Approved FDA,Soluble,Plants
Inulin,Storage,Prebiotic/Sweetener,Fat replacer,Functional Foods,E406,1.606,GRAS,Soluble,Plants
Hyaluronic Acid,Bioactive,Moisturizing supplement,Thickener,Bakery,E401,3.306,Approved FDA,Soluble,Animals/Bacteria
Xanthan Gum,Bacterial,Emulsifier/Thickener,Prebiotic,Nutraceuticals,E410,4.543,GRAS,Soluble,Bacteria
Levan,Bacterial,Food stabilizer,Emulsifier,Meat products,E412,1.824,Approved FDA,Soluble,Bacteria
Chitin,Structural,Preservative,Gelling agent,Bakery,E440,2.763,Approved EU,Insoluble,Fungi/Exoskeletons
Pectin,Structural,Jam/Jelly gelling,Fat replacer,Sauces/Dressings,E440,3.896,Under review,Soluble,Plants
Laminarin,Algal,Supplement,Fat replacer,Confectionery,E440,1.387,Under review,Soluble,Brown Algae
Carrageenan,Algal,Gelling/Stabilizing,Gelling agent,Dairy,E406,3.151,Under review,Soluble,Red Algae
Chitin,Structural,Preservative,Thickener,Confectionery,E406,3.526,GRAS,Insoluble,Fungi/Exoskeletons
Glycogen,Storage,NA,Film-forming,Sauces/Dressings,E410,3.629,Approved EU,Soluble,Animals
Cellulose Sulfate,Structural,Coating,Emulsifier,Bakery,E406,0.967,Under review,Soluble,Plants (Modified)
Welan Gum,Bacterial,NA,Prebiotic,Sauces/Dressings,E410,2.248,GRAS,Soluble,Bacteria
Levan,Bacterial,Food stabilizer,Gelling agent,Nutraceuticals,E412,2.624,Under review,Soluble,Bacteria
Starch,Storage,Thickener/Binder,Emulsifier,Meat products,E440,4.838,Approved FDA,Soluble,Plants
Cellulose,Structural,Dietary fiber,Humectant,Bakery,NA,4.863,Approved EU,Insoluble,Plants
Gellan Gum,Bacterial,Gelling agent,Dietary fiber,Nutraceuticals,E440,2.667,Under review,Soluble,Bacteria
Glycogen,Storage,NA,Emulsifier,Nutraceuticals,NA,2.551,Under review,Soluble,Animals
Konjac Glucomannan,Storage,Gelling/Coating,Dietary fiber,Functional Foods,E415,1.365,Approved EU,Soluble,Plants
Starch,Storage,Thickener/Binder,Emulsifier,Confectionery,E415,3.487,Under review,Soluble,Plants
Pullulan,Fungal,Edible films,Film-forming,Meat products,E410,4.264,Approved FDA,Soluble,Fungi
Welan Gum,Bacterial,NA,Prebiotic,Dairy,E406,1.127,Under review,Soluble,Bacteria
Agar,Algal,Gelling agent/Desserts,Prebiotic,Bakery,E440,0.749,Approved FDA,Soluble (Hot),Red Algae
Heparin,Bioactive,NA,Prebiotic,Bakery,E440,4.9,Approved EU,Soluble,Animals
Cellulose Sulfate,Structural,Coating,Gelling agent,Bakery,E440,1.744,Under review,Soluble,Plants (Modified)
Alginate,Algal,Thickener/Emulsifier,Fat replacer,Dairy,E440,4.421,Approved FDA,Soluble,Brown Algae
Gellan Gum,Bacterial,Gelling agent,Emulsifier,Functional Foods,E415,1.482,GRAS,Soluble,Bacteria
Fucoidan,Algal,Nutraceutical,Thickener,Sauces/Dressings,E406,3.655,Approved FDA,Soluble,Brown Algae
Hyaluronic Acid,Bioactive,Moisturizing supplement,Prebiotic,Bakery,E415,3.29,Under review,Soluble,Animals/Bacteria
Chitin,Structural,Preservative,Dietary fiber,Meat products,NA,3.135,Under review,Insoluble,Fungi/Exoskeletons
Cellulose Sulfate,Structural,Coating,Stabilizer,Nutraceuticals,E406,1.628,Approved EU,Soluble,Plants (Modified)
Curdlan,Bacterial,Gelling agent,Dietary fiber,Beverages,E412,1.166,Restricted,Insoluble,Bacteria
Alginate,Algal,Thickener/Emulsifier,Emulsifier,Nutraceuticals,E401,2.485,Restricted,Soluble,Brown Algae
Hyaluronic Acid,Bioactive,Moisturizing supplement,Emulsifier,Confectionery,E415,2.458,Approved EU,Soluble,Animals/Bacteria
Fucoidan,Algal,Nutraceutical,Prebiotic,Bakery,E410,0.823,Approved EU,Soluble,Brown Algae
Carrageenan,Algal,Gelling/Stabilizing,Humectant,Confectionery,E401,0.726,Restricted,Soluble,Red Algae
Agar,Algal,Gelling agent/Desserts,Coating,Functional Foods,E401,3.624,Approved EU,Soluble (Hot),Red Algae
Gellan Gum,Bacterial,Gelling agent,Thickener,Dairy,E412,1.926,GRAS,Soluble,Bacteria
Starch,Storage,Thickener/Binder,Thickener,Beverages,E406,3.853,Approved FDA,Soluble,Plants
Heparin,Bioactive,NA,Humectant,Bakery,NA,4.832,GRAS,Soluble,Animals
Cellulose Sulfate,Structural,Coating,Fat replacer,Dairy,E406,0.705,Under review,Soluble,Plants (Modified)
Pullulan,Fungal,Edible films,Emulsifier,Meat products,E410,2.4,Approved EU,Soluble,Fungi
Cellulose,Structural,Dietary fiber,Film-forming,Meat products,E440,2.723,GRAS,Insoluble,Plants
Cellulose,Structural,Dietary fiber,Gelling agent,Meat products,E401,2.563,Restricted,Insoluble,Plants
Heparin,Bioactive,NA,Thickener,Confectionery,E401,1.141,Restricted,Soluble,Animals
Heparin,Bioactive,NA,Fat replacer,Meat products,E406,4.609,Restricted,Soluble,Animals
Scleroglucan,Fungal,Thickener,Gelling agent,Nutraceuticals,E406,4.954,Approved EU,Soluble,Fungi
Chitin,Structural,Preservative,Prebiotic,Sauces/Dressings,E401,3.082,GRAS,Insoluble,Fungi/Exoskeletons
Alginate,Algal,Thickener/Emulsifier,Gelling agent,Bakery,E415,0.764,Restricted,Soluble,Brown Algae
Locust Bean Gum,Storage,Stabilizer/Thickener,Fat replacer,Beverages,E440,2.132,Approved FDA,Soluble,Plants
Laminarin,Algal,Supplement,Prebiotic,Sauces/Dressings,E401,1.363,Restricted,Soluble,Brown Algae
Scleroglucan,Fungal,Thickener,Fat replacer,Meat products,NA,4.536,GRAS,Soluble,Fungi
Starch,Storage,Thickener/Binder,Emulsifier,Beverages,E410,0.747,Restricted,Soluble,Plants
Gellan Gum,Bacterial,Gelling agent,Coating,Dairy,E401,2.893,Approved FDA,Soluble,Bacteria
Heparin,Bioactive,NA,Gelling agent,Sauces/Dressings,E406,0.918,Restricted,Soluble,Animals
Alginate,Algal,Thickener/Emulsifier,Fat replacer,Nutraceuticals,E412,2.412,Restricted,Soluble,Brown Algae
Laminarin,Algal,Supplement,Fat replacer,Beverages,NA,4.721,Approved EU,Soluble,Brown Algae
Carrageenan,Algal,Gelling/Stabilizing,Dietary fiber,Nutraceuticals,E415,2.674,Under review,Soluble,Red Algae
Cellulose Sulfate,Structural,Coating,Stabilizer,Functional Foods,E401,2.909,Restricted,Soluble,Plants (Modified)
Locust Bean Gum,Storage,Stabilizer/Thickener,Humectant,Confectionery,E440,0.445,Approved FDA,Soluble,Plants
Starch,Storage,Thickener/Binder,Stabilizer,Bakery,E410,2.796,Approved EU,Soluble,Plants
Chitin,Structural,Preservative,Thickener,Sauces/Dressings,E410,4.245,Approved EU,Insoluble,Fungi/Exoskeletons
Dextran,Bacterial,Coating,Coating,Beverages,NA,4.268,Restricted,Soluble,Bacteria
Agar,Algal,Gelling agent/Desserts,Stabilizer,Confectionery,E401,3.738,GRAS,Soluble (Hot),Red Algae
Welan Gum,Bacterial,NA,Emulsifier,Functional Foods,E440,0.141,Restricted,Soluble,Bacteria
Alginate,Algal,Thickener/Emulsifier,Thickener,Dairy,E440,2.912,Restricted,Soluble,Brown Algae
Laminarin,Algal,Supplement,Emulsifier,Bakery,E406,1.833,GRAS,Soluble,Brown Algae
Agar,Algal,Gelling agent/Desserts,Gelling agent,Bakery,E415,4.157,Restricted,Soluble (Hot),Red Algae
Heparin,Bioactive,NA,Emulsifier,Nutraceuticals,E440,0.709,Under review,Soluble,Animals
Welan Gum,Bacterial,NA,Prebiotic,Nutraceuticals,E412,3.616,Restricted,Soluble,Bacteria
Fucoidan,Algal,Nutraceutical,Thickener,Meat products,E401,0.788,GRAS,Soluble,Brown Algae
Laminarin,Algal,Supplement,Emulsifier,Beverages,E401,1.988,Restricted,Soluble,Brown Algae
Scleroglucan,Fungal,Thickener,Coating,Meat products,E415,2.514,Approved EU,Soluble,Fungi
Levan,Bacterial,Food stabilizer,Emulsifier,Meat products,E401,2.612,Approved EU,Soluble,Bacteria
Gellan Gum,Bacterial,Gelling agent,Stabilizer,Functional Foods,E415,0.289,Restricted,Soluble,Bacteria
Hyaluronic Acid,Bioactive,Moisturizing supplement,Film-forming,Dairy,NA,3.465,Restricted,Soluble,Animals/Bacteria
Pectin,Structural,Jam/Jelly gelling,Dietary fiber,Functional Foods,E406,0.283,Approved FDA,Soluble,Plants
Fucoidan,Algal,Nutraceutical,Dietary fiber,Confectionery,E410,0.551,GRAS,Soluble,Brown Algae
Alginate,Algal,Thickener/Emulsifier,Humectant,Sauces/Dressings,E401,1.205,Approved EU,Soluble,Brown Algae
Cellulose Sulfate,Structural,Coating,Gelling agent,Dairy,E406,2.99,Approved FDA,Soluble,Plants (Modified)
Xanthan Gum,Bacterial,Emulsifier/Thickener,Film-forming,Confectionery,E440,4.647,Approved EU,Soluble,Bacteria
Inulin,Storage,Prebiotic/Sweetener,Gelling agent,Bakery,E415,4.933,Restricted,Soluble,Plants
Cellulose,Structural,Dietary fiber,Thickener,Sauces/Dressings,E401,4.718,GRAS,Insoluble,Plants
Alginate,Algal,Thickener/Emulsifier,Prebiotic,Functional Foods,E415,0.982,Restricted,Soluble,Brown Algae
Gellan Gum,Bacterial,Gelling agent,Fat replacer,Beverages,E440,3.377,Approved FDA,Soluble,Bacteria
Levan,Bacterial,Food stabilizer,Film-forming,Dairy,E415,4.039,Approved EU,Soluble,Bacteria
Starch,Storage,Thickener/Binder,Humectant,Functional Foods,E412,2.936,GRAS,Soluble,Plants
Dextran,Bacterial,Coating,Emulsifier,Beverages,E440,2.321,GRAS,Soluble,Bacteria
Welan Gum,Bacterial,NA,Stabilizer,Confectionery,NA,3.41,Approved EU,Soluble,Bacteria
Konjac Glucomannan,Storage,Gelling/Coating,Emulsifier,Sauces/Dressings,E412,3.929,Approved FDA,Soluble,Plants
Dextran,Bacterial,Coating,Fat replacer,Functional Foods,E401,4.454,Restricted,Soluble,Bacteria
Agar,Algal,Gelling agent/Desserts,Stabilizer,Dairy,E406,2.839,Restricted,Soluble (Hot),Red Algae
Chitin,Structural,Preservative,Thickener,Beverages,NA,4.354,Under review,Insoluble,Fungi/Exoskeletons
Glycogen,Storage,NA,Coating,Dairy,E412,1.575,Approved FDA,Soluble,Animals
Hyaluronic Acid,Bioactive,Moisturizing supplement,Gelling agent,Meat products,E415,1.823,GRAS,Soluble,Animals/Bacteria
Glycogen,Storage,NA,Emulsifier,Nutraceuticals,E410,4.931,Approved FDA,Soluble,Animals
Konjac Glucomannan,Storage,Gelling/Coating,Coating,Beverages,E401,4.859,Restricted,Soluble,Plants
Cellulose,Structural,Dietary fiber,Fat replacer,Meat products,E412,2.051,Under review,Insoluble,Plants
Scleroglucan,Fungal,Thickener,Emulsifier,Nutraceuticals,E410,2.567,Under review,Soluble,Fungi
Pectin,Structural,Jam/Jelly gelling,Fat replacer,Dairy,E440,2.072,Restricted,Soluble,Plants
Inulin,Storage,Prebiotic/Sweetener,Thickener,Bakery,E440,3.955,Under review,Soluble,Plants
Starch,Storage,Thickener/Binder,Emulsifier,Dairy,E410,1.885,Under review,Soluble,Plants
Carrageenan,Algal,Gelling/Stabilizing,Gelling agent,Confectionery,E412,4.372,GRAS,Soluble,Red Algae
Alginate,Algal,Thickener/Emulsifier,Coating,Nutraceuticals,E440,2.68,Restricted,Soluble,Brown Algae
Chitin,Structural,Preservative,Gelling agent,Beverages,E440,0.551,Restricted,Insoluble,Fungi/Exoskeletons
Konjac Glucomannan,Storage,Gelling/Coating,Dietary fiber,Confectionery,E412,1.65,Approved FDA,Soluble,Plants
Pectin,Structural,Jam/Jelly gelling,Humectant,Nutraceuticals,E406,3.514,Restricted,Soluble,Plants
Chitin,Structural,Preservative,Prebiotic,Nutraceuticals,E401,2.73,Restricted,Insoluble,Fungi/Exoskeletons
Heparin,Bioactive,NA,Stabilizer,Sauces/Dressings,E415,0.166,Under review,Soluble,Animals
Konjac Glucomannan,Storage,Gelling/Coating,Dietary fiber,Bakery,NA,1.814,Restricted,Soluble,Plants
Guar Gum,Storage,Thickener,Stabilizer,Bakery,E406,4.341,Restricted,Soluble,Plants
Inulin,Storage,Prebiotic/Sweetener,Prebiotic,Beverages,E401,0.717,Approved FDA,Soluble,Plants
Carrageenan,Algal,Gelling/Stabilizing,Gelling agent,Meat products,NA,3.564,Restricted,Soluble,Red Algae
Locust Bean Gum,Storage,Stabilizer/Thickener,Stabilizer,Meat products,E406,4.154,GRAS,Soluble,Plants
Levan,Bacterial,Food stabilizer,Fat replacer,Meat products,E406,1.001,Restricted,Soluble,Bacteria
Guar Gum,Storage,Thickener,Coating,Beverages,E440,2.19,Under review,Soluble,Plants
Carrageenan,Algal,Gelling/Stabilizing,Thickener,Confectionery,E401,3.616,Under review,Soluble,Red Algae
Laminarin,Algal,Supplement,Emulsifier,Sauces/Dressings,E440,4.932,Approved FDA,Soluble,Brown Algae
Starch,Storage,Thickener/Binder,Emulsifier,Nutraceuticals,E406,2.502,Approved FDA,Soluble,Plants
Chitin,Structural,Preservative,Dietary fiber,Meat products,E415,3.614,Restricted,Insoluble,Fungi/Exoskeletons
Heparin,Bioactive,NA,Coating,Dairy,E401,1.101,Approved EU,Soluble,Animals
Levan,Bacterial,Food stabilizer,Film-forming,Beverages,E415,1.894,Approved FDA,Soluble,Bacteria
Xanthan Gum,Bacterial,Emulsifier/Thickener,Stabilizer,Bakery,E410,4.071,GRAS,Soluble,Bacteria
Dextran,Bacterial,Coating,Prebiotic,Dairy,E440,2.501,Restricted,Soluble,Bacteria
Levan,Bacterial,Food stabilizer,Dietary fiber,Sauces/Dressings,E410,4.143,Restricted,Soluble,Bacteria
Locust Bean Gum,Storage,Stabilizer/Thickener,Fat replacer,Dairy,E406,2.3,Approved FDA,Soluble,Plants
Hyaluronic Acid,Bioactive,Moisturizing supplement,Film-forming,Beverages,E415,2.185,Approved FDA,Soluble,Animals/Bacteria
Scleroglucan,Fungal,Thickener,Dietary fiber,Meat products,E440,3.106,GRAS,Soluble,Fungi
Glycogen,Storage,NA,Gelling agent,Dairy,E440,0.092,Restricted,Soluble,Animals
Chitin,Structural,Preservative,Coating,Dairy,E440,2.226,Under review,Insoluble,Fungi/Exoskeletons
Cellulose,Structural,Dietary fiber,Prebiotic,Functional Foods,E406,1.122,Restricted,Insoluble,Plants
Cellulose Sulfate,Structural,Coating,Dietary fiber,Dairy,E406,4.283,GRAS,Soluble,Plants (Modified)
Alginate,Algal,Thickener/Emulsifier,Coating,Functional Foods,NA,3.228,Restricted,Soluble,Brown Algae
Starch,Storage,Thickener/Binder,Fat replacer,Confectionery,E415,1.425,Approved FDA,Soluble,Plants
Dextran,Bacterial,Coating,Dietary fiber,Confectionery,E401,4.502,Restricted,Soluble,Bacteria
Cellulose,Structural,Dietary fiber,Thickener,Bakery,E406,3.955,Under review,Insoluble,Plants
Gellan Gum,Bacterial,Gelling agent,Humectant,Sauces/Dressings,E410,0.86,Under review,Soluble,Bacteria
Levan,Bacterial,Food stabilizer,Stabilizer,Functional Foods,E406,3.085,Restricted,Soluble,Bacteria
Cellulose,Structural,Dietary fiber,Humectant,Functional Foods,E406,4.698,Restricted,Insoluble,Plants
Gellan Gum,Bacterial,Gelling agent,Emulsifier,Functional Foods,E410,2.591,Restricted,Soluble,Bacteria
Agar,Algal,Gelling agent/Desserts,Gelling agent,Beverages,E415,0.601,Under review,Soluble (Hot),Red Algae
Carrageenan,Algal,Gelling/Stabilizing,Prebiotic,Beverages,E410,1.027,GRAS,Soluble,Red Algae
Starch,Storage,Thickener/Binder,Dietary fiber,Bakery,E440,3.852,Approved EU,Soluble,Plants
Starch,Storage,Thickener/Binder,Humectant,Dairy,E415,1.918,Approved EU,Soluble,Plants
Pullulan,Fungal,Edible films,Fat replacer,Beverages,E406,3.266,Approved EU,Soluble,Fungi
Dextran,Bacterial,Coating,Stabilizer,Confectionery,E440,3.902,Restricted,Soluble,Bacteria
Konjac Glucomannan,Storage,Gelling/Coating,Prebiotic,Bakery,E410,0.424,Approved EU,Soluble,Plants
Fucoidan,Algal,Nutraceutical,Thickener,Dairy,E401,2.301,Under review,Soluble,Brown Algae
Chitin,Structural,Preservative,Gelling agent,Beverages,E410,1.317,Approved EU,Insoluble,Fungi/Exoskeletons
