id,name,category,source,notes,evidenceLevel,tensileStrengthMpaMin,tensileStrengthMpaMax,elasticModulusGpaMin,elasticModulusGpaMax,elongationPctMin,elongationPctMax,punctureResistanceN,wvtr,otr,waterSolubility,swellingRatio,degradationDaysMin,degradationDaysMax,enzymaticDegradability,hydrolyticStability,cytotoxicitySafe,hemocompatible,antimicrobial,endotoxinConcern,sterGamma,sterEto,sterSteam,sterUv,sterAutoclave,procFilm,procCasting,procExtrusion,procCoating,procMelt,solventCompatible,costBand,availabilityBand,dataCompleteness
mat-0016,Methacrylated Cellulose Type-816,Cellulose & Nanocellulose,Wood pulp / Cotton linters,"High-purity biomedical grade cellulose engineered for tissue engineering, drug delivery, and barrier applications.",high,11.71,44.04,2.64,3.28,50.06,195.12,5.12,210.3,147.3,False,7.86,32,84,True,low,True,True,False,Low (<0.1 EU/mg),True,False,False,False,True,False,True,False,False,True,"DMSO, Water",med,high,0.98
mat-0017,Pharma-Grade Dextran Type-256,Dextran & Dextran Esters,Corn starch / Potato starch,"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",low,25.87,60.14,2.19,5.88,47.61,122.69,29.16,1542.3,151.8,True,15.16,18,174,False,low,True,True,False,Ultra-Low (<0.05 EU/mg),True,False,False,True,False,True,False,False,False,False,Ethanol/Water 70:30,high,low,0.93
mat-0018,High-MW Cellulose Type-347,Cellulose & Nanocellulose,Sphingomonas elodea culture,"High-purity biomedical grade cellulose engineered for tissue engineering, drug delivery, and barrier applications.",med,27.21,43.02,1.72,4.63,29.65,42.06,11.36,1100.3,117.1,False,9.15,74,264,False,high,True,True,False,Ultra-Low (<0.05 EU/mg),False,True,True,True,False,True,True,True,True,False,Ethanol/Water 70:30,high,high,1.0
mat-0019,Phosphate-modified Pullulan Type-389,Pullulan & Exopolysaccharides,Fungal fermentation (Aspergillus niger),"High-purity biomedical grade pullulan engineered for tissue engineering, drug delivery, and barrier applications.",high,16.85,38.09,1.13,4.02,11.96,28.33,3.33,836.5,425.4,False,2.92,8,167,False,med,True,True,True,Ultra-Low (<0.05 EU/mg),True,True,False,False,True,True,True,True,False,True,Phosphate Buffered Saline,low,high,0.96
mat-0020,"Phosphate-modified Carrageenan (Kappa, Iota, Lambda) Type-909","Carrageenan (Kappa, Iota, Lambda)",Aureobasidium pullulans culture,"High-purity biomedical grade carrageenan (kappa, iota, lambda) engineered for tissue engineering, drug delivery, and barrier applications.",med,25.9,51.17,1.61,5.08,59.45,112.2,22.3,1582.6,335.6,True,11.71,40,95,True,low,True,True,True,Ultra-Low (<0.05 EU/mg),False,False,True,True,False,False,False,True,True,False,Phosphate Buffered Saline,med,low,0.93
mat-0021,Low-MW Xanthan Type-372,Xanthan & Gellan Gums,Recombinant yeast production,"High-purity biomedical grade xanthan engineered for tissue engineering, drug delivery, and barrier applications.",low,7.39,48.06,2.12,5.45,55.67,127.15,17.2,864.6,187.1,False,9.61,70,308,True,high,True,True,True,Ultra-Low (<0.05 EU/mg),True,True,True,True,False,True,True,False,False,False,Phosphate Buffered Saline,high,med,0.95
mat-0022,High-MW Dextran Type-581,Dextran & Dextran Esters,Citrus peel / Apple pomace,"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",med,17.84,27.55,0.65,2.41,32.25,135.01,14.92,1937.2,26.1,True,6.48,48,121,False,high,True,True,False,Ultra-Low (<0.05 EU/mg),False,True,True,False,False,False,True,True,False,True,Ethanol/Water 70:30,med,high,0.92
mat-0023,Biomedical Grade Chitosan Type-723,Chitosan & Derivatives,Porcine cartilage,"High-purity biomedical grade chitosan engineered for tissue engineering, drug delivery, and barrier applications.",med,11.34,41.13,1.98,2.53,59.57,197.38,16.96,426.0,376.1,False,16.87,44,197,False,med,False,True,False,Ultra-Low (<0.05 EU/mg),True,True,True,False,False,False,False,True,False,False,"DMSO, Water",low,med,0.93
mat-0024,Quaternized Starch Type-665,Starch & Modified Starches,Porcine cartilage,"High-purity biomedical grade starch engineered for tissue engineering, drug delivery, and barrier applications.",med,23.21,42.69,0.74,3.59,36.45,79.15,27.48,252.6,337.7,False,7.69,90,181,False,low,True,False,True,Low (<0.1 EU/mg),False,True,False,True,True,False,True,True,False,False,Ethanol/Water 70:30,high,high,0.91
mat-0025,Film-Forming Alginate Type-436,Alginate & Salts,Recombinant yeast production,"High-purity biomedical grade alginate engineered for tissue engineering, drug delivery, and barrier applications.",med,26.34,74.28,2.23,5.8,31.84,117.58,22.18,701.7,311.1,False,17.96,18,254,True,high,True,True,True,Ultra-Low (<0.05 EU/mg),True,True,False,True,False,False,False,False,True,True,"DMSO, Water",high,high,0.97
mat-0026,Low-MW Hyaluronic Acid Type-180,Hyaluronic Acid & Hyaluronates,Aureobasidium pullulans culture,"High-purity biomedical grade hyaluronic acid engineered for tissue engineering, drug delivery, and barrier applications.",high,29.79,45.63,3.2,3.94,30.36,75.92,10.05,172.1,364.0,False,12.58,27,78,False,med,False,True,False,Standard (<0.5 EU/mg),False,False,False,True,False,False,True,True,False,False,Ethanol/Water 70:30,high,med,0.85
mat-0027,Sulfated Xanthan Type-381,Xanthan & Gellan Gums,Crustacean shells (Crab/Shrimp),"High-purity biomedical grade xanthan engineered for tissue engineering, drug delivery, and barrier applications.",med,32.43,70.94,0.27,2.77,32.32,168.9,11.09,2027.3,277.1,False,4.88,31,173,True,high,True,True,True,Ultra-Low (<0.05 EU/mg),True,False,True,True,False,False,False,True,True,True,Ethanol/Water 70:30,high,high,0.99
mat-0028,Carboxymethylated Hyaluronic Acid Type-944,Hyaluronic Acid & Hyaluronates,Red Seaweed (Rhodophyta),"High-purity biomedical grade hyaluronic acid engineered for tissue engineering, drug delivery, and barrier applications.",high,16.81,60.98,2.83,4.81,9.14,124.72,9.06,1739.4,306.7,False,17.45,78,279,True,med,True,True,False,Standard (<0.5 EU/mg),False,False,False,True,True,False,True,False,True,True,"DMSO, Water",high,med,0.95
mat-0029,Low-MW Alginate Type-146,Alginate & Salts,Crustacean shells (Crab/Shrimp),"High-purity biomedical grade alginate engineered for tissue engineering, drug delivery, and barrier applications.",med,24.7,34.07,3.12,3.84,29.95,133.82,26.4,2373.0,194.4,True,16.07,90,154,False,high,True,False,True,Ultra-Low (<0.05 EU/mg),True,False,False,True,False,True,False,False,True,False,Ethanol/Water 70:30,low,low,0.99
mat-0030,High-MW Dextran Type-778,Dextran & Dextran Esters,Bacterial fermentation (Streptococcus zooepidemicus),"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",med,28.89,34.85,2.78,3.91,11.93,100.97,3.8,1948.1,101.1,True,14.86,36,218,True,high,True,False,True,Low (<0.1 EU/mg),False,True,True,True,True,True,False,True,False,True,Phosphate Buffered Saline,med,low,0.87
mat-0031,Nanofibrillated Agarose Type-216,Agarose & Agars,Sphingomonas elodea culture,"High-purity biomedical grade agarose engineered for tissue engineering, drug delivery, and barrier applications.",low,22.93,44.22,2.12,4.04,17.19,113.3,25.86,2285.6,299.9,False,8.9,10,55,False,med,True,True,False,Ultra-Low (<0.05 EU/mg),True,True,False,True,True,True,False,False,False,False,"DMSO, Water",high,high,0.91
mat-0032,Pharma-Grade Biopolymer Blends Type-217,Biopolymer Blends & Composites,Recombinant yeast production,"High-purity biomedical grade biopolymer blends engineered for tissue engineering, drug delivery, and barrier applications.",med,40.11,69.92,3.04,4.87,53.85,121.78,29.22,1087.0,331.0,False,8.37,39,244,True,high,False,True,False,Low (<0.1 EU/mg),False,True,False,True,True,False,True,False,False,False,"Water, Dilute Acetic Acid",med,high,0.9
mat-0033,Phosphate-modified Alginate Type-619,Alginate & Salts,Bacterial fermentation (Streptococcus zooepidemicus),"High-purity biomedical grade alginate engineered for tissue engineering, drug delivery, and barrier applications.",low,24.29,67.42,1.29,3.6,11.32,60.32,9.08,1158.4,256.8,True,11.43,41,69,True,med,True,True,True,Low (<0.1 EU/mg),True,True,False,True,True,True,True,True,False,False,"DMSO, Water",med,low,0.91
mat-0034,Quaternized Chondroitin Type-895,Chondroitin & Glycosaminoglycans,Aureobasidium pullulans culture,"High-purity biomedical grade chondroitin engineered for tissue engineering, drug delivery, and barrier applications.",med,40.33,52.33,2.67,3.06,9.49,81.53,15.7,1576.6,192.2,True,13.88,21,211,False,low,True,True,False,Standard (<0.5 EU/mg),False,True,True,False,True,True,True,False,True,True,Ethanol/Water 70:30,med,med,0.87
mat-0035,Pharma-Grade Dextran Type-540,Dextran & Dextran Esters,Brown Seaweed (Laminaria hyperborea),"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",low,26.3,41.65,2.0,4.74,24.48,90.07,26.36,1175.1,212.3,True,15.68,80,313,False,high,True,True,False,Ultra-Low (<0.05 EU/mg),True,False,False,True,False,True,True,False,False,True,"DMSO, Water",med,high,0.9
mat-0036,Injectable Grade Starch Type-272,Starch & Modified Starches,Fungal fermentation (Aspergillus niger),"High-purity biomedical grade starch engineered for tissue engineering, drug delivery, and barrier applications.",med,9.56,37.51,3.18,4.71,45.01,169.66,28.8,705.2,74.4,True,4.11,26,78,True,high,True,True,False,Ultra-Low (<0.05 EU/mg),False,False,True,False,True,False,False,False,False,True,Ethanol/Water 70:30,high,low,0.9
mat-0037,Ultra-Pure Dextran Type-158,Dextran & Dextran Esters,Citrus peel / Apple pomace,"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",high,8.07,51.96,3.01,5.55,32.89,107.67,20.07,2010.8,404.2,False,16.47,80,190,False,high,True,True,True,Low (<0.1 EU/mg),False,True,True,True,True,False,False,True,False,False,Ethanol/Water 70:30,med,med,0.97
mat-0038,Phosphate-modified Xanthan Type-153,Xanthan & Gellan Gums,Porcine cartilage,"High-purity biomedical grade xanthan engineered for tissue engineering, drug delivery, and barrier applications.",med,18.39,38.23,2.0,3.67,18.86,148.08,33.81,1566.3,76.2,True,10.99,25,218,False,high,True,True,False,Low (<0.1 EU/mg),False,False,False,True,True,False,False,True,False,False,Phosphate Buffered Saline,low,med,0.99
mat-0039,Crosslinked Dextran Type-331,Dextran & Dextran Esters,Brown Seaweed (Laminaria hyperborea),"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",low,16.83,57.3,1.83,4.08,45.63,129.34,23.67,2209.5,281.9,False,3.79,30,128,False,low,True,True,True,Ultra-Low (<0.05 EU/mg),False,False,True,True,False,False,True,False,False,False,Ethanol/Water 70:30,med,high,0.93
mat-0040,Film-Forming Hyaluronic Acid Type-304,Hyaluronic Acid & Hyaluronates,Porcine cartilage,"High-purity biomedical grade hyaluronic acid engineered for tissue engineering, drug delivery, and barrier applications.",med,39.92,47.27,1.73,3.34,56.39,165.99,18.78,443.0,46.9,True,5.78,72,161,False,low,False,True,False,Ultra-Low (<0.05 EU/mg),True,False,True,False,False,True,False,True,False,True,"Water, Dilute Acetic Acid",med,low,0.98
mat-0041,Quaternized Xanthan Type-910,Xanthan & Gellan Gums,Brown Seaweed (Laminaria hyperborea),"High-purity biomedical grade xanthan engineered for tissue engineering, drug delivery, and barrier applications.",low,16.48,58.82,2.47,3.2,43.8,116.6,1.68,336.2,122.6,True,10.42,84,314,True,med,True,True,True,Standard (<0.5 EU/mg),False,True,True,False,True,True,True,False,False,True,Ethanol/Water 70:30,low,high,0.91
mat-0042,Biomedical Grade Xanthan Type-187,Xanthan & Gellan Gums,Leuconostoc mesenteroides fermentation,"High-purity biomedical grade xanthan engineered for tissue engineering, drug delivery, and barrier applications.",high,7.71,36.38,1.82,5.78,35.48,100.14,17.25,1643.8,441.7,False,13.75,52,100,False,low,True,True,False,Standard (<0.5 EU/mg),False,True,True,False,False,True,False,False,True,True,"Water, Dilute Acetic Acid",high,med,0.86
mat-0043,Ultra-Pure Cellulose Type-910,Cellulose & Nanocellulose,Bacterial fermentation (Streptococcus zooepidemicus),"High-purity biomedical grade cellulose engineered for tissue engineering, drug delivery, and barrier applications.",high,17.62,36.57,1.45,4.75,31.04,46.17,23.17,822.4,389.3,True,15.75,49,202,True,med,True,True,False,Ultra-Low (<0.05 EU/mg),False,True,False,False,False,False,True,False,True,False,Phosphate Buffered Saline,high,med,0.9
mat-0044,Quaternized Alginate Type-776,Alginate & Salts,Wood pulp / Cotton linters,"High-purity biomedical grade alginate engineered for tissue engineering, drug delivery, and barrier applications.",med,29.1,53.28,2.45,3.99,7.33,139.14,13.31,2495.7,130.8,True,2.46,88,309,False,high,True,True,False,Low (<0.1 EU/mg),False,True,True,True,True,False,False,False,True,True,"DMSO, Water",med,med,0.92
mat-0045,Phosphate-modified Alginate Type-240,Alginate & Salts,Leuconostoc mesenteroides fermentation,"High-purity biomedical grade alginate engineered for tissue engineering, drug delivery, and barrier applications.",med,17.58,35.12,3.37,3.67,15.23,97.71,32.1,426.7,351.0,False,4.8,85,245,False,low,True,False,False,Standard (<0.5 EU/mg),False,True,False,False,True,False,False,True,True,False,Phosphate Buffered Saline,low,low,0.97
mat-0046,Injectable Grade Cellulose Type-605,Cellulose & Nanocellulose,Crustacean shells (Crab/Shrimp),"High-purity biomedical grade cellulose engineered for tissue engineering, drug delivery, and barrier applications.",med,27.89,53.92,3.44,4.13,53.63,72.83,14.84,1834.8,220.6,False,14.12,80,131,True,med,True,True,False,Ultra-Low (<0.05 EU/mg),True,True,True,False,True,True,True,False,True,True,Ethanol/Water 70:30,high,low,0.9
mat-0047,Hydrogel-Grade Pullulan Type-390,Pullulan & Exopolysaccharides,Recombinant yeast production,"High-purity biomedical grade pullulan engineered for tissue engineering, drug delivery, and barrier applications.",low,12.85,60.89,1.03,3.61,38.79,61.87,22.97,1540.7,265.5,True,12.27,84,270,True,low,True,False,False,Ultra-Low (<0.05 EU/mg),True,False,True,False,False,False,False,True,False,False,"DMSO, Water",low,high,0.86
mat-0048,Sulfated Dextran Type-595,Dextran & Dextran Esters,Red Seaweed (Rhodophyta),"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",med,29.27,48.34,2.54,5.53,52.34,198.89,5.88,1020.8,257.1,False,5.26,22,172,False,low,True,True,False,Standard (<0.5 EU/mg),False,True,True,False,False,True,True,False,False,False,Ethanol/Water 70:30,med,low,0.86
mat-0049,Nanofibrillated Agarose Type-568,Agarose & Agars,Bacterial fermentation (Streptococcus zooepidemicus),"High-purity biomedical grade agarose engineered for tissue engineering, drug delivery, and barrier applications.",med,19.12,26.39,1.78,5.33,40.98,116.86,19.48,2140.9,199.6,False,13.42,58,259,True,med,True,True,True,Ultra-Low (<0.05 EU/mg),True,False,False,False,True,True,True,False,False,False,Ethanol/Water 70:30,low,low,0.94
mat-0050,Nanofibrillated Agarose Type-141,Agarose & Agars,Crustacean shells (Crab/Shrimp),"High-purity biomedical grade agarose engineered for tissue engineering, drug delivery, and barrier applications.",low,33.54,74.72,1.87,2.64,54.12,83.69,32.7,898.5,182.9,False,11.17,71,335,False,med,True,True,False,Ultra-Low (<0.05 EU/mg),False,True,False,False,True,True,False,True,False,True,Phosphate Buffered Saline,low,high,0.99
mat-0051,Crosslinked Alginate Type-119,Alginate & Salts,Red Seaweed (Rhodophyta),"High-purity biomedical grade alginate engineered for tissue engineering, drug delivery, and barrier applications.",med,11.06,47.13,1.5,4.64,55.63,187.82,26.15,296.4,70.8,True,10.62,68,274,False,low,True,True,False,Standard (<0.5 EU/mg),False,False,True,True,False,False,True,False,False,True,"DMSO, Water",med,med,0.9
mat-0052,Pharma-Grade Biopolymer Blends Type-380,Biopolymer Blends & Composites,Wood pulp / Cotton linters,"High-purity biomedical grade biopolymer blends engineered for tissue engineering, drug delivery, and barrier applications.",low,32.06,54.15,3.43,6.74,57.5,180.15,11.23,825.9,324.2,False,16.72,90,235,False,low,True,True,False,Standard (<0.5 EU/mg),False,True,True,True,True,True,True,True,True,True,"DMSO, Water",med,high,0.92
mat-0053,Injectable Grade Xanthan Type-240,Xanthan & Gellan Gums,Crustacean shells (Crab/Shrimp),"High-purity biomedical grade xanthan engineered for tissue engineering, drug delivery, and barrier applications.",high,44.12,56.23,2.32,5.87,31.16,132.24,26.82,825.0,135.6,True,16.45,18,150,True,low,True,True,False,Low (<0.1 EU/mg),False,False,True,False,True,True,False,True,False,False,"DMSO, Water",high,high,0.93
mat-0054,Film-Forming Hyaluronic Acid Type-616,Hyaluronic Acid & Hyaluronates,Red Seaweed (Rhodophyta),"High-purity biomedical grade hyaluronic acid engineered for tissue engineering, drug delivery, and barrier applications.",med,37.35,57.23,2.59,5.25,44.52,56.49,12.79,843.3,306.7,True,4.15,88,309,False,high,True,True,True,Low (<0.1 EU/mg),False,False,True,True,False,False,True,False,False,False,Ethanol/Water 70:30,high,high,0.94
mat-0055,Biomedical Grade Pectin Type-468,Pectin & Pectinates,Sphingomonas elodea culture,"High-purity biomedical grade pectin engineered for tissue engineering, drug delivery, and barrier applications.",med,31.71,57.65,0.64,3.45,55.77,190.06,27.29,1772.2,291.0,False,7.37,35,161,True,med,True,True,False,Ultra-Low (<0.05 EU/mg),False,True,True,True,False,False,True,True,True,True,Phosphate Buffered Saline,low,med,0.98
mat-0056,High-MW Dextran Type-796,Dextran & Dextran Esters,Bacterial fermentation (Streptococcus zooepidemicus),"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",high,24.55,70.0,1.61,2.02,12.26,80.42,20.39,1463.2,306.0,False,13.35,57,201,True,high,True,True,False,Standard (<0.5 EU/mg),True,True,True,False,True,False,False,True,True,False,Ethanol/Water 70:30,med,med,0.98
mat-0057,Sulfated Agarose Type-182,Agarose & Agars,Xanthomonas campestris culture,"High-purity biomedical grade agarose engineered for tissue engineering, drug delivery, and barrier applications.",high,39.98,50.96,3.02,3.67,59.61,124.64,5.77,2450.0,377.3,True,17.64,66,297,False,low,True,True,True,Standard (<0.5 EU/mg),True,True,False,True,True,True,True,True,True,False,"Water, Dilute Acetic Acid",low,high,0.86
mat-0058,Crosslinked Dextran Type-652,Dextran & Dextran Esters,Bacterial fermentation (Streptococcus zooepidemicus),"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",high,36.04,47.35,3.48,4.57,55.4,146.06,20.85,1965.5,370.1,True,6.27,25,152,False,med,True,True,False,Standard (<0.5 EU/mg),True,False,False,True,False,False,False,False,False,True,Ethanol/Water 70:30,med,low,0.96
mat-0059,Crosslinked Dextran Type-969,Dextran & Dextran Esters,Bacterial fermentation (Streptococcus zooepidemicus),"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",med,33.3,74.56,3.21,5.55,58.23,146.25,5.99,720.7,99.5,True,16.69,54,115,True,low,True,True,False,Low (<0.1 EU/mg),True,True,False,True,False,False,True,True,True,True,"DMSO, Water",low,high,0.94
mat-0060,Sulfated Cellulose Type-345,Cellulose & Nanocellulose,Leuconostoc mesenteroides fermentation,"High-purity biomedical grade cellulose engineered for tissue engineering, drug delivery, and barrier applications.",med,16.32,42.3,2.31,3.68,24.78,158.37,17.11,2036.6,327.9,False,16.56,54,228,False,low,True,True,True,Ultra-Low (<0.05 EU/mg),False,False,True,True,False,True,False,True,False,False,Ethanol/Water 70:30,med,high,0.95
mat-0061,Methacrylated Dextran Type-272,Dextran & Dextran Esters,Sphingomonas elodea culture,"High-purity biomedical grade dextran engineered for tissue engineering, drug delivery, and barrier applications.",high,11.77,49.18,1.76,5.44,34.82,134.67,3.47,229.5,382.5,True,14.04,59,143,True,low,True,True,False,Ultra-Low (<0.05 EU/mg),True,False,False,True,True,False,True,True,False,False,"Water, Dilute Acetic Acid",high,high,0.95
mat-0062,Hydrogel-Grade Biopolymer Blends Type-283,Biopolymer Blends & Composites,Fungal fermentation (Aspergillus niger),"High-purity biomedical grade biopolymer blends engineered for tissue engineering, drug delivery, and barrier applications.",high,25.98,41.82,2.21,3.37,24.49,145.78,4.15,2404.3,212.0,True,17.84,35,202,True,high,False,True,True,Ultra-Low (<0.05 EU/mg),False,False,False,True,True,True,True,False,False,False,"Water, Dilute Acetic Acid",high,low,0.88
mat-0063,Hydrogel-Grade Chondroitin Type-680,Chondroitin & Glycosaminoglycans,Red Seaweed (Rhodophyta),"High-purity biomedical grade chondroitin engineered for tissue engineering, drug delivery, and barrier applications.",med,41.97,77.77,1.05,3.31,41.2,76.31,29.99,186.8,101.1,True,13.84,57,110,False,low,True,True,False,Standard (<0.5 EU/mg),False,False,True,True,False,True,True,False,True,True,Ethanol/Water 70:30,high,high,0.99
mat-0064,Injectable Grade Agarose Type-434,Agarose & Agars,Crustacean shells (Crab/Shrimp),"High-purity biomedical grade agarose engineered for tissue engineering, drug delivery, and barrier applications.",med,36.34,61.61,0.88,3.18,25.65,61.65,21.13,1043.2,349.8,False,14.61,16,72,False,low,True,True,True,Ultra-Low (<0.05 EU/mg),False,False,True,True,True,False,False,False,False,True,Phosphate Buffered Saline,low,low,0.91
